Decimal_Value,Bit_9,Bit_8,Bit_7,Bit_6,Bit_5,Bit_4,Bit_3,Bit_2,Bit_1,Bit_0
592,1,0,0,1,0,1,0,0,0,0
261,0,1,0,0,0,0,0,1,0,1
151,0,0,1,0,0,1,0,1,1,1
170,0,0,1,0,1,0,1,0,1,0
656,1,0,1,0,0,1,0,0,0,0
597,1,0,0,1,0,1,0,1,0,1
860,1,1,0,1,0,1,1,1,0,0
1021,1,1,1,1,1,1,1,1,0,1
295,0,1,0,0,1,0,0,1,1,1
355,0,1,0,1,1,0,0,0,1,1
531,1,0,0,0,0,1,0,0,1,1
15,0,0,0,0,0,0,1,1,1,1
33,0,0,0,0,1,0,0,0,0,1
273,0,1,0,0,0,1,0,0,0,1
659,1,0,1,0,0,1,0,0,1,1
768,1,1,0,0,0,0,0,0,0,0
526,1,0,0,0,0,0,1,1,1,0
103,0,0,0,1,1,0,0,1,1,1
970,1,1,1,1,0,0,1,0,1,0
668,1,0,1,0,0,1,1,1,0,0
222,0,0,1,1,0,1,1,1,1,0
934,1,1,1,0,1,0,0,1,1,0
90,0,0,0,1,0,1,1,0,1,0
223,0,0,1,1,0,1,1,1,1,1
443,0,1,1,0,1,1,1,0,1,1
140,0,0,1,0,0,0,1,1,0,0
173,0,0,1,0,1,0,1,1,0,1
870,1,1,0,1,1,0,0,1,1,0
411,0,1,1,0,0,1,1,0,1,1
829,1,1,0,0,1,1,1,1,0,1
589,1,0,0,1,0,0,1,1,0,1
100,0,0,0,1,1,0,0,1,0,0
984,1,1,1,1,0,1,1,0,0,0
684,1,0,1,0,1,0,1,1,0,0
751,1,0,1,1,1,0,1,1,1,1
144,0,0,1,0,0,1,0,0,0,0
185,0,0,1,0,1,1,1,0,0,1
786,1,1,0,0,0,1,0,0,1,0
684,1,0,1,0,1,0,1,1,0,0
710,1,0,1,1,0,0,0,1,1,0
882,1,1,0,1,1,1,0,0,1,0
758,1,0,1,1,1,1,0,1,1,0
447,0,1,1,0,1,1,1,1,1,1
910,1,1,1,0,0,0,1,1,1,0
308,0,1,0,0,1,1,0,1,0,0
310,0,1,0,0,1,1,0,1,1,0
718,1,0,1,1,0,0,1,1,1,0
760,1,0,1,1,1,1,1,0,0,0
608,1,0,0,1,1,0,0,0,0,0
185,0,0,1,0,1,1,1,0,0,1
189,0,0,1,0,1,1,1,1,0,1
62,0,0,0,0,1,1,1,1,1,0
590,1,0,0,1,0,0,1,1,1,0
841,1,1,0,1,0,0,1,0,0,1
826,1,1,0,0,1,1,1,0,1,0
588,1,0,0,1,0,0,1,1,0,0
318,0,1,0,0,1,1,1,1,1,0
238,0,0,1,1,1,0,1,1,1,0
886,1,1,0,1,1,1,0,1,1,0
348,0,1,0,1,0,1,1,1,0,0
968,1,1,1,1,0,0,1,0,0,0
824,1,1,0,0,1,1,1,0,0,0
994,1,1,1,1,1,0,0,0,1,0
576,1,0,0,1,0,0,0,0,0,0
347,0,1,0,1,0,1,1,0,1,1
376,0,1,0,1,1,1,1,0,0,0
161,0,0,1,0,1,0,0,0,0,1
436,0,1,1,0,1,1,0,1,0,0
1016,1,1,1,1,1,1,1,0,0,0
905,1,1,1,0,0,0,1,0,0,1
89,0,0,0,1,0,1,1,0,0,1
981,1,1,1,1,0,1,0,1,0,1
199,0,0,1,1,0,0,0,1,1,1
762,1,0,1,1,1,1,1,0,1,0
969,1,1,1,1,0,0,1,0,0,1
221,0,0,1,1,0,1,1,1,0,1
522,1,0,0,0,0,0,1,0,1,0
771,1,1,0,0,0,0,0,0,1,1
920,1,1,1,0,0,1,1,0,0,0
413,0,1,1,0,0,1,1,1,0,1
106,0,0,0,1,1,0,1,0,1,0
416,0,1,1,0,1,0,0,0,0,0
98,0,0,0,1,1,0,0,0,1,0
229,0,0,1,1,1,0,0,1,0,1
543,1,0,0,0,0,1,1,1,1,1
665,1,0,1,0,0,1,1,0,0,1
763,1,0,1,1,1,1,1,0,1,1
221,0,0,1,1,0,1,1,1,0,1
755,1,0,1,1,1,1,0,0,1,1
796,1,1,0,0,0,1,1,1,0,0
118,0,0,0,1,1,1,0,1,1,0
180,0,0,1,0,1,1,0,1,0,0
935,1,1,1,0,1,0,0,1,1,1
698,1,0,1,0,1,1,1,0,1,0
821,1,1,0,0,1,1,0,1,0,1
31,0,0,0,0,0,1,1,1,1,1
970,1,1,1,1,0,0,1,0,1,0
245,0,0,1,1,1,1,0,1,0,1
54,0,0,0,0,1,1,0,1,1,0
931,1,1,1,0,1,0,0,0,1,1
686,1,0,1,0,1,0,1,1,1,0
285,0,1,0,0,0,1,1,1,0,1
229,0,0,1,1,1,0,0,1,0,1
998,1,1,1,1,1,0,0,1,1,0
427,0,1,1,0,1,0,1,0,1,1
647,1,0,1,0,0,0,0,1,1,1
279,0,1,0,0,0,1,0,1,1,1
271,0,1,0,0,0,0,1,1,1,1
48,0,0,0,0,1,1,0,0,0,0
717,1,0,1,1,0,0,1,1,0,1
207,0,0,1,1,0,0,1,1,1,1
111,0,0,0,1,1,0,1,1,1,1
776,1,1,0,0,0,0,1,0,0,0
411,0,1,1,0,0,1,1,0,1,1
319,0,1,0,0,1,1,1,1,1,1
380,0,1,0,1,1,1,1,1,0,0
459,0,1,1,1,0,0,1,0,1,1
48,0,0,0,0,1,1,0,0,0,0
1018,1,1,1,1,1,1,1,0,1,0
245,0,0,1,1,1,1,0,1,0,1
565,1,0,0,0,1,1,0,1,0,1
179,0,0,1,0,1,1,0,0,1,1
115,0,0,0,1,1,1,0,0,1,1
281,0,1,0,0,0,1,1,0,0,1
450,0,1,1,1,0,0,0,0,1,0
520,1,0,0,0,0,0,1,0,0,0
169,0,0,1,0,1,0,1,0,0,1
373,0,1,0,1,1,1,0,1,0,1
787,1,1,0,0,0,1,0,0,1,1
124,0,0,0,1,1,1,1,1,0,0
399,0,1,1,0,0,0,1,1,1,1
621,1,0,0,1,1,0,1,1,0,1
713,1,0,1,1,0,0,1,0,0,1
315,0,1,0,0,1,1,1,0,1,1
73,0,0,0,1,0,0,1,0,0,1
503,0,1,1,1,1,1,0,1,1,1
550,1,0,0,0,1,0,0,1,1,0
125,0,0,0,1,1,1,1,1,0,1
698,1,0,1,0,1,1,1,0,1,0
812,1,1,0,0,1,0,1,1,0,0
321,0,1,0,1,0,0,0,0,0,1
242,0,0,1,1,1,1,0,0,1,0
815,1,1,0,0,1,0,1,1,1,1
475,0,1,1,1,0,1,1,0,1,1
786,1,1,0,0,0,1,0,0,1,0
207,0,0,1,1,0,0,1,1,1,1
376,0,1,0,1,1,1,1,0,0,0
731,1,0,1,1,0,1,1,0,1,1
169,0,0,1,0,1,0,1,0,0,1
139,0,0,1,0,0,0,1,0,1,1
483,0,1,1,1,1,0,0,0,1,1
325,0,1,0,1,0,0,0,1,0,1
612,1,0,0,1,1,0,0,1,0,0
207,0,0,1,1,0,0,1,1,1,1
620,1,0,0,1,1,0,1,1,0,0
189,0,0,1,0,1,1,1,1,0,1
773,1,1,0,0,0,0,0,1,0,1
351,0,1,0,1,0,1,1,1,1,1
639,1,0,0,1,1,1,1,1,1,1
401,0,1,1,0,0,1,0,0,0,1
737,1,0,1,1,1,0,0,0,0,1
804,1,1,0,0,1,0,0,1,0,0
720,1,0,1,1,0,1,0,0,0,0
24,0,0,0,0,0,1,1,0,0,0
790,1,1,0,0,0,1,0,1,1,0
718,1,0,1,1,0,0,1,1,1,0
124,0,0,0,1,1,1,1,1,0,0
1021,1,1,1,1,1,1,1,1,0,1
587,1,0,0,1,0,0,1,0,1,1
616,1,0,0,1,1,0,1,0,0,0
103,0,0,0,1,1,0,0,1,1,1
1003,1,1,1,1,1,0,1,0,1,1
933,1,1,1,0,1,0,0,1,0,1
856,1,1,0,1,0,1,1,0,0,0
95,0,0,0,1,0,1,1,1,1,1
450,0,1,1,1,0,0,0,0,1,0
535,1,0,0,0,0,1,0,1,1,1
979,1,1,1,1,0,1,0,0,1,1
201,0,0,1,1,0,0,1,0,0,1
470,0,1,1,1,0,1,0,1,1,0
175,0,0,1,0,1,0,1,1,1,1
192,0,0,1,1,0,0,0,0,0,0
581,1,0,0,1,0,0,0,1,0,1
275,0,1,0,0,0,1,0,0,1,1
688,1,0,1,0,1,1,0,0,0,0
923,1,1,1,0,0,1,1,0,1,1
686,1,0,1,0,1,0,1,1,1,0
830,1,1,0,0,1,1,1,1,1,0
595,1,0,0,1,0,1,0,0,1,1
398,0,1,1,0,0,0,1,1,1,0
514,1,0,0,0,0,0,0,0,1,0
1006,1,1,1,1,1,0,1,1,1,0
979,1,1,1,1,0,1,0,0,1,1
460,0,1,1,1,0,0,1,1,0,0
19,0,0,0,0,0,1,0,0,1,1
628,1,0,0,1,1,1,0,1,0,0
232,0,0,1,1,1,0,1,0,0,0
626,1,0,0,1,1,1,0,0,1,0
510,0,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
682,1,0,1,0,1,0,1,0,1,0
767,1,0,1,1,1,1,1,1,1,1
102,0,0,0,1,1,0,0,1,1,0
663,1,0,1,0,0,1,0,1,1,1
874,1,1,0,1,1,0,1,0,1,0
997,1,1,1,1,1,0,0,1,0,1
858,1,1,0,1,0,1,1,0,1,0
941,1,1,1,0,1,0,1,1,0,1
548,1,0,0,0,1,0,0,1,0,0
660,1,0,1,0,0,1,0,1,0,0
792,1,1,0,0,0,1,1,0,0,0
728,1,0,1,1,0,1,1,0,0,0
32,0,0,0,0,1,0,0,0,0,0
348,0,1,0,1,0,1,1,1,0,0
57,0,0,0,0,1,1,1,0,0,1
108,0,0,0,1,1,0,1,1,0,0
792,1,1,0,0,0,1,1,0,0,0
302,0,1,0,0,1,0,1,1,1,0
741,1,0,1,1,1,0,0,1,0,1
943,1,1,1,0,1,0,1,1,1,1
591,1,0,0,1,0,0,1,1,1,1
60,0,0,0,0,1,1,1,1,0,0
595,1,0,0,1,0,1,0,0,1,1
684,1,0,1,0,1,0,1,1,0,0
664,1,0,1,0,0,1,1,0,0,0
418,0,1,1,0,1,0,0,0,1,0
843,1,1,0,1,0,0,1,0,1,1
667,1,0,1,0,0,1,1,0,1,1
665,1,0,1,0,0,1,1,0,0,1
346,0,1,0,1,0,1,1,0,1,0
69,0,0,0,1,0,0,0,1,0,1
693,1,0,1,0,1,1,0,1,0,1
33,0,0,0,0,1,0,0,0,0,1
259,0,1,0,0,0,0,0,0,1,1
95,0,0,0,1,0,1,1,1,1,1
401,0,1,1,0,0,1,0,0,0,1
620,1,0,0,1,1,0,1,1,0,0
900,1,1,1,0,0,0,0,1,0,0
698,1,0,1,0,1,1,1,0,1,0
24,0,0,0,0,0,1,1,0,0,0
200,0,0,1,1,0,0,1,0,0,0
879,1,1,0,1,1,0,1,1,1,1
790,1,1,0,0,0,1,0,1,1,0
645,1,0,1,0,0,0,0,1,0,1
74,0,0,0,1,0,0,1,0,1,0
143,0,0,1,0,0,0,1,1,1,1
775,1,1,0,0,0,0,0,1,1,1
341,0,1,0,1,0,1,0,1,0,1
58,0,0,0,0,1,1,1,0,1,0
668,1,0,1,0,0,1,1,1,0,0
338,0,1,0,1,0,1,0,0,1,0
354,0,1,0,1,1,0,0,0,1,0
577,1,0,0,1,0,0,0,0,0,1
294,0,1,0,0,1,0,0,1,1,0
970,1,1,1,1,0,0,1,0,1,0
395,0,1,1,0,0,0,1,0,1,1
678,1,0,1,0,1,0,0,1,1,0
407,0,1,1,0,0,1,0,1,1,1
719,1,0,1,1,0,0,1,1,1,1
804,1,1,0,0,1,0,0,1,0,0
943,1,1,1,0,1,0,1,1,1,1
179,0,0,1,0,1,1,0,0,1,1
765,1,0,1,1,1,1,1,1,0,1
594,1,0,0,1,0,1,0,0,1,0
701,1,0,1,0,1,1,1,1,0,1
198,0,0,1,1,0,0,0,1,1,0
133,0,0,1,0,0,0,0,1,0,1
643,1,0,1,0,0,0,0,0,1,1
366,0,1,0,1,1,0,1,1,1,0
1022,1,1,1,1,1,1,1,1,1,0
993,1,1,1,1,1,0,0,0,0,1
781,1,1,0,0,0,0,1,1,0,1
51,0,0,0,0,1,1,0,0,1,1
24,0,0,0,0,0,1,1,0,0,0
421,0,1,1,0,1,0,0,1,0,1
45,0,0,0,0,1,0,1,1,0,1
403,0,1,1,0,0,1,0,0,1,1
296,0,1,0,0,1,0,1,0,0,0
878,1,1,0,1,1,0,1,1,1,0
341,0,1,0,1,0,1,0,1,0,1
116,0,0,0,1,1,1,0,1,0,0
361,0,1,0,1,1,0,1,0,0,1
115,0,0,0,1,1,1,0,0,1,1
929,1,1,1,0,1,0,0,0,0,1
362,0,1,0,1,1,0,1,0,1,0
401,0,1,1,0,0,1,0,0,0,1
132,0,0,1,0,0,0,0,1,0,0
103,0,0,0,1,1,0,0,1,1,1
12,0,0,0,0,0,0,1,1,0,0
492,0,1,1,1,1,0,1,1,0,0
377,0,1,0,1,1,1,1,0,0,1
405,0,1,1,0,0,1,0,1,0,1
588,1,0,0,1,0,0,1,1,0,0
1020,1,1,1,1,1,1,1,1,0,0
346,0,1,0,1,0,1,1,0,1,0
3,0,0,0,0,0,0,0,0,1,1
401,0,1,1,0,0,1,0,0,0,1
300,0,1,0,0,1,0,1,1,0,0
775,1,1,0,0,0,0,0,1,1,1
642,1,0,1,0,0,0,0,0,1,0
139,0,0,1,0,0,0,1,0,1,1
390,0,1,1,0,0,0,0,1,1,0
188,0,0,1,0,1,1,1,1,0,0
440,0,1,1,0,1,1,1,0,0,0
574,1,0,0,0,1,1,1,1,1,0
446,0,1,1,0,1,1,1,1,1,0
425,0,1,1,0,1,0,1,0,0,1
697,1,0,1,0,1,1,1,0,0,1
320,0,1,0,1,0,0,0,0,0,0
862,1,1,0,1,0,1,1,1,1,0
933,1,1,1,0,1,0,0,1,0,1
1011,1,1,1,1,1,1,0,0,1,1
307,0,1,0,0,1,1,0,0,1,1
114,0,0,0,1,1,1,0,0,1,0
62,0,0,0,0,1,1,1,1,1,0
137,0,0,1,0,0,0,1,0,0,1
679,1,0,1,0,1,0,0,1,1,1
649,1,0,1,0,0,0,1,0,0,1
71,0,0,0,1,0,0,0,1,1,1
19,0,0,0,0,0,1,0,0,1,1
468,0,1,1,1,0,1,0,1,0,0
474,0,1,1,1,0,1,1,0,1,0
606,1,0,0,1,0,1,1,1,1,0
206,0,0,1,1,0,0,1,1,1,0
674,1,0,1,0,1,0,0,0,1,0
298,0,1,0,0,1,0,1,0,1,0
156,0,0,1,0,0,1,1,1,0,0
413,0,1,1,0,0,1,1,1,0,1
934,1,1,1,0,1,0,0,1,1,0
649,1,0,1,0,0,0,1,0,0,1
605,1,0,0,1,0,1,1,1,0,1
242,0,0,1,1,1,1,0,0,1,0
545,1,0,0,0,1,0,0,0,0,1
412,0,1,1,0,0,1,1,1,0,0
917,1,1,1,0,0,1,0,1,0,1
7,0,0,0,0,0,0,0,1,1,1
126,0,0,0,1,1,1,1,1,1,0
710,1,0,1,1,0,0,0,1,1,0
744,1,0,1,1,1,0,1,0,0,0
10,0,0,0,0,0,0,1,0,1,0
1008,1,1,1,1,1,1,0,0,0,0
191,0,0,1,0,1,1,1,1,1,1
384,0,1,1,0,0,0,0,0,0,0
656,1,0,1,0,0,1,0,0,0,0
95,0,0,0,1,0,1,1,1,1,1
790,1,1,0,0,0,1,0,1,1,0
856,1,1,0,1,0,1,1,0,0,0
792,1,1,0,0,0,1,1,0,0,0
564,1,0,0,0,1,1,0,1,0,0
148,0,0,1,0,0,1,0,1,0,0
187,0,0,1,0,1,1,1,0,1,1
622,1,0,0,1,1,0,1,1,1,0
839,1,1,0,1,0,0,0,1,1,1
1005,1,1,1,1,1,0,1,1,0,1
407,0,1,1,0,0,1,0,1,1,1
906,1,1,1,0,0,0,1,0,1,0
1003,1,1,1,1,1,0,1,0,1,1
675,1,0,1,0,1,0,0,0,1,1
459,0,1,1,1,0,0,1,0,1,1
230,0,0,1,1,1,0,0,1,1,0
616,1,0,0,1,1,0,1,0,0,0
903,1,1,1,0,0,0,0,1,1,1
160,0,0,1,0,1,0,0,0,0,0
947,1,1,1,0,1,1,0,0,1,1
959,1,1,1,0,1,1,1,1,1,1
110,0,0,0,1,1,0,1,1,1,0
137,0,0,1,0,0,0,1,0,0,1
392,0,1,1,0,0,0,1,0,0,0
915,1,1,1,0,0,1,0,0,1,1
566,1,0,0,0,1,1,0,1,1,0
687,1,0,1,0,1,0,1,1,1,1
556,1,0,0,0,1,0,1,1,0,0
822,1,1,0,0,1,1,0,1,1,0
427,0,1,1,0,1,0,1,0,1,1
563,1,0,0,0,1,1,0,0,1,1
825,1,1,0,0,1,1,1,0,0,1
995,1,1,1,1,1,0,0,0,1,1
696,1,0,1,0,1,1,1,0,0,0
719,1,0,1,1,0,0,1,1,1,1
118,0,0,0,1,1,1,0,1,1,0
336,0,1,0,1,0,1,0,0,0,0
847,1,1,0,1,0,0,1,1,1,1
940,1,1,1,0,1,0,1,1,0,0
205,0,0,1,1,0,0,1,1,0,1
535,1,0,0,0,0,1,0,1,1,1
684,1,0,1,0,1,0,1,1,0,0
249,0,0,1,1,1,1,1,0,0,1
427,0,1,1,0,1,0,1,0,1,1
392,0,1,1,0,0,0,1,0,0,0
735,1,0,1,1,0,1,1,1,1,1
94,0,0,0,1,0,1,1,1,1,0
583,1,0,0,1,0,0,0,1,1,1
217,0,0,1,1,0,1,1,0,0,1
944,1,1,1,0,1,1,0,0,0,0
108,0,0,0,1,1,0,1,1,0,0
103,0,0,0,1,1,0,0,1,1,1
166,0,0,1,0,1,0,0,1,1,0
710,1,0,1,1,0,0,0,1,1,0
525,1,0,0,0,0,0,1,1,0,1
424,0,1,1,0,1,0,1,0,0,0
84,0,0,0,1,0,1,0,1,0,0
532,1,0,0,0,0,1,0,1,0,0
143,0,0,1,0,0,0,1,1,1,1
151,0,0,1,0,0,1,0,1,1,1
910,1,1,1,0,0,0,1,1,1,0
503,0,1,1,1,1,1,0,1,1,1
747,1,0,1,1,1,0,1,0,1,1
1016,1,1,1,1,1,1,1,0,0,0
389,0,1,1,0,0,0,0,1,0,1
806,1,1,0,0,1,0,0,1,1,0
618,1,0,0,1,1,0,1,0,1,0
577,1,0,0,1,0,0,0,0,0,1
102,0,0,0,1,1,0,0,1,1,0
548,1,0,0,0,1,0,0,1,0,0
422,0,1,1,0,1,0,0,1,1,0
914,1,1,1,0,0,1,0,0,1,0
593,1,0,0,1,0,1,0,0,0,1
222,0,0,1,1,0,1,1,1,1,0
563,1,0,0,0,1,1,0,0,1,1
437,0,1,1,0,1,1,0,1,0,1
373,0,1,0,1,1,1,0,1,0,1
999,1,1,1,1,1,0,0,1,1,1
867,1,1,0,1,1,0,0,0,1,1
955,1,1,1,0,1,1,1,0,1,1
787,1,1,0,0,0,1,0,0,1,1
49,0,0,0,0,1,1,0,0,0,1
843,1,1,0,1,0,0,1,0,1,1
254,0,0,1,1,1,1,1,1,1,0
636,1,0,0,1,1,1,1,1,0,0
967,1,1,1,1,0,0,0,1,1,1
87,0,0,0,1,0,1,0,1,1,1
553,1,0,0,0,1,0,1,0,0,1
837,1,1,0,1,0,0,0,1,0,1
543,1,0,0,0,0,1,1,1,1,1
972,1,1,1,1,0,0,1,1,0,0
261,0,1,0,0,0,0,0,1,0,1
31,0,0,0,0,0,1,1,1,1,1
841,1,1,0,1,0,0,1,0,0,1
340,0,1,0,1,0,1,0,1,0,0
660,1,0,1,0,0,1,0,1,0,0
202,0,0,1,1,0,0,1,0,1,0
382,0,1,0,1,1,1,1,1,1,0
860,1,1,0,1,0,1,1,1,0,0
784,1,1,0,0,0,1,0,0,0,0
91,0,0,0,1,0,1,1,0,1,1
257,0,1,0,0,0,0,0,0,0,1
287,0,1,0,0,0,1,1,1,1,1
636,1,0,0,1,1,1,1,1,0,0
12,0,0,0,0,0,0,1,1,0,0
416,0,1,1,0,1,0,0,0,0,0
530,1,0,0,0,0,1,0,0,1,0
73,0,0,0,1,0,0,1,0,0,1
331,0,1,0,1,0,0,1,0,1,1
845,1,1,0,1,0,0,1,1,0,1
295,0,1,0,0,1,0,0,1,1,1
800,1,1,0,0,1,0,0,0,0,0
829,1,1,0,0,1,1,1,1,0,1
760,1,0,1,1,1,1,1,0,0,0
255,0,0,1,1,1,1,1,1,1,1
1003,1,1,1,1,1,0,1,0,1,1
633,1,0,0,1,1,1,1,0,0,1
235,0,0,1,1,1,0,1,0,1,1
9,0,0,0,0,0,0,1,0,0,1
234,0,0,1,1,1,0,1,0,1,0
926,1,1,1,0,0,1,1,1,1,0
818,1,1,0,0,1,1,0,0,1,0
446,0,1,1,0,1,1,1,1,1,0
451,0,1,1,1,0,0,0,0,1,1
250,0,0,1,1,1,1,1,0,1,0
301,0,1,0,0,1,0,1,1,0,1
661,1,0,1,0,0,1,0,1,0,1
620,1,0,0,1,1,0,1,1,0,0
586,1,0,0,1,0,0,1,0,1,0
258,0,1,0,0,0,0,0,0,1,0
474,0,1,1,1,0,1,1,0,1,0
42,0,0,0,0,1,0,1,0,1,0
229,0,0,1,1,1,0,0,1,0,1
419,0,1,1,0,1,0,0,0,1,1
588,1,0,0,1,0,0,1,1,0,0
784,1,1,0,0,0,1,0,0,0,0
232,0,0,1,1,1,0,1,0,0,0
235,0,0,1,1,1,0,1,0,1,1
961,1,1,1,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
197,0,0,1,1,0,0,0,1,0,1
975,1,1,1,1,0,0,1,1,1,1
391,0,1,1,0,0,0,0,1,1,1
1012,1,1,1,1,1,1,0,1,0,0
151,0,0,1,0,0,1,0,1,1,1
660,1,0,1,0,0,1,0,1,0,0
194,0,0,1,1,0,0,0,0,1,0
177,0,0,1,0,1,1,0,0,0,1
641,1,0,1,0,0,0,0,0,0,1
789,1,1,0,0,0,1,0,1,0,1
236,0,0,1,1,1,0,1,1,0,0
749,1,0,1,1,1,0,1,1,0,1
845,1,1,0,1,0,0,1,1,0,1
722,1,0,1,1,0,1,0,0,1,0
771,1,1,0,0,0,0,0,0,1,1
305,0,1,0,0,1,1,0,0,0,1
228,0,0,1,1,1,0,0,1,0,0
864,1,1,0,1,1,0,0,0,0,0
449,0,1,1,1,0,0,0,0,0,1
383,0,1,0,1,1,1,1,1,1,1
149,0,0,1,0,0,1,0,1,0,1
281,0,1,0,0,0,1,1,0,0,1
210,0,0,1,1,0,1,0,0,1,0
852,1,1,0,1,0,1,0,1,0,0
519,1,0,0,0,0,0,0,1,1,1
594,1,0,0,1,0,1,0,0,1,0
918,1,1,1,0,0,1,0,1,1,0
562,1,0,0,0,1,1,0,0,1,0
479,0,1,1,1,0,1,1,1,1,1
842,1,1,0,1,0,0,1,0,1,0
714,1,0,1,1,0,0,1,0,1,0
681,1,0,1,0,1,0,1,0,0,1
241,0,0,1,1,1,1,0,0,0,1
150,0,0,1,0,0,1,0,1,1,0
201,0,0,1,1,0,0,1,0,0,1
60,0,0,0,0,1,1,1,1,0,0
157,0,0,1,0,0,1,1,1,0,1
226,0,0,1,1,1,0,0,0,1,0
89,0,0,0,1,0,1,1,0,0,1
301,0,1,0,0,1,0,1,1,0,1
79,0,0,0,1,0,0,1,1,1,1
55,0,0,0,0,1,1,0,1,1,1
819,1,1,0,0,1,1,0,0,1,1
767,1,0,1,1,1,1,1,1,1,1
65,0,0,0,1,0,0,0,0,0,1
429,0,1,1,0,1,0,1,1,0,1
1018,1,1,1,1,1,1,1,0,1,0
398,0,1,1,0,0,0,1,1,1,0
986,1,1,1,1,0,1,1,0,1,0
331,0,1,0,1,0,0,1,0,1,1
848,1,1,0,1,0,1,0,0,0,0
804,1,1,0,0,1,0,0,1,0,0
758,1,0,1,1,1,1,0,1,1,0
753,1,0,1,1,1,1,0,0,0,1
839,1,1,0,1,0,0,0,1,1,1
628,1,0,0,1,1,1,0,1,0,0
28,0,0,0,0,0,1,1,1,0,0
512,1,0,0,0,0,0,0,0,0,0
78,0,0,0,1,0,0,1,1,1,0
457,0,1,1,1,0,0,1,0,0,1
772,1,1,0,0,0,0,0,1,0,0
970,1,1,1,1,0,0,1,0,1,0
204,0,0,1,1,0,0,1,1,0,0
711,1,0,1,1,0,0,0,1,1,1
211,0,0,1,1,0,1,0,0,1,1
943,1,1,1,0,1,0,1,1,1,1
888,1,1,0,1,1,1,1,0,0,0
111,0,0,0,1,1,0,1,1,1,1
517,1,0,0,0,0,0,0,1,0,1
546,1,0,0,0,1,0,0,0,1,0
459,0,1,1,1,0,0,1,0,1,1
901,1,1,1,0,0,0,0,1,0,1
579,1,0,0,1,0,0,0,0,1,1
413,0,1,1,0,0,1,1,1,0,1
658,1,0,1,0,0,1,0,0,1,0
629,1,0,0,1,1,1,0,1,0,1
322,0,1,0,1,0,0,0,0,1,0
667,1,0,1,0,0,1,1,0,1,1
695,1,0,1,0,1,1,0,1,1,1
961,1,1,1,1,0,0,0,0,0,1
179,0,0,1,0,1,1,0,0,1,1
268,0,1,0,0,0,0,1,1,0,0
993,1,1,1,1,1,0,0,0,0,1
590,1,0,0,1,0,0,1,1,1,0
834,1,1,0,1,0,0,0,0,1,0
1000,1,1,1,1,1,0,1,0,0,0
984,1,1,1,1,0,1,1,0,0,0
50,0,0,0,0,1,1,0,0,1,0
35,0,0,0,0,1,0,0,0,1,1
51,0,0,0,0,1,1,0,0,1,1
123,0,0,0,1,1,1,1,0,1,1
745,1,0,1,1,1,0,1,0,0,1
304,0,1,0,0,1,1,0,0,0,0
605,1,0,0,1,0,1,1,1,0,1
782,1,1,0,0,0,0,1,1,1,0
565,1,0,0,0,1,1,0,1,0,1
125,0,0,0,1,1,1,1,1,0,1
468,0,1,1,1,0,1,0,1,0,0
215,0,0,1,1,0,1,0,1,1,1
337,0,1,0,1,0,1,0,0,0,1
287,0,1,0,0,0,1,1,1,1,1
830,1,1,0,0,1,1,1,1,1,0
900,1,1,1,0,0,0,0,1,0,0
71,0,0,0,1,0,0,0,1,1,1
997,1,1,1,1,1,0,0,1,0,1
180,0,0,1,0,1,1,0,1,0,0
1002,1,1,1,1,1,0,1,0,1,0
42,0,0,0,0,1,0,1,0,1,0
402,0,1,1,0,0,1,0,0,1,0
358,0,1,0,1,1,0,0,1,1,0
751,1,0,1,1,1,0,1,1,1,1
359,0,1,0,1,1,0,0,1,1,1
326,0,1,0,1,0,0,0,1,1,0
238,0,0,1,1,1,0,1,1,1,0
993,1,1,1,1,1,0,0,0,0,1
568,1,0,0,0,1,1,1,0,0,0
818,1,1,0,0,1,1,0,0,1,0
337,0,1,0,1,0,1,0,0,0,1
186,0,0,1,0,1,1,1,0,1,0
725,1,0,1,1,0,1,0,1,0,1
668,1,0,1,0,0,1,1,1,0,0
741,1,0,1,1,1,0,0,1,0,1
761,1,0,1,1,1,1,1,0,0,1
485,0,1,1,1,1,0,0,1,0,1
456,0,1,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
792,1,1,0,0,0,1,1,0,0,0
166,0,0,1,0,1,0,0,1,1,0
715,1,0,1,1,0,0,1,0,1,1
300,0,1,0,0,1,0,1,1,0,0
763,1,0,1,1,1,1,1,0,1,1
974,1,1,1,1,0,0,1,1,1,0
1015,1,1,1,1,1,1,0,1,1,1
1009,1,1,1,1,1,1,0,0,0,1
37,0,0,0,0,1,0,0,1,0,1
72,0,0,0,1,0,0,1,0,0,0
224,0,0,1,1,1,0,0,0,0,0
956,1,1,1,0,1,1,1,1,0,0
1022,1,1,1,1,1,1,1,1,1,0
613,1,0,0,1,1,0,0,1,0,1
691,1,0,1,0,1,1,0,0,1,1
277,0,1,0,0,0,1,0,1,0,1
568,1,0,0,0,1,1,1,0,0,0
160,0,0,1,0,1,0,0,0,0,0
752,1,0,1,1,1,1,0,0,0,0
293,0,1,0,0,1,0,0,1,0,1
655,1,0,1,0,0,0,1,1,1,1
1018,1,1,1,1,1,1,1,0,1,0
